population,mse,r2,selected_indices,source
CA,0.0217065654798043,0.9801009328503212,"[1, 0, 2, 10, 11, 12, 17, 6, 5, 14, 4, 8, 13, 9, 15]",our_method
NY,0.009629035989985013,0.9789460354887478,"[1, 0, 2, 10, 11, 12, 17, 6, 5, 14, 4, 8, 13, 9, 15]",our_method
FL,0.021874935385426564,0.9746139009917828,"[1, 0, 2, 10, 11, 12, 17, 6, 5, 14, 4, 8, 13, 9, 15]",our_method
CA,0.0198311317807426,0.9818201998226629,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.0071677452395486,0.9843276674782282,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.017505266950642213,0.9796849484515353,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.21643122168329873,0.8015909325881154,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
NY,0.11622568452016274,0.7458716075286675,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
FL,0.22549068808864062,0.7383156186571922,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
CA,0.01930541905061042,0.9823021366324302,"[11, 10, 13, 9, 15, 6, 7, 5, 8, 16, 3, 4, 2, 1, 0]",baseline_xgb
NY,0.007297573652335138,0.9840437966111754,"[11, 10, 13, 9, 15, 6, 7, 5, 8, 16, 3, 4, 2, 1, 0]",baseline_xgb
FL,0.017886526170736623,0.9792424930047613,"[11, 10, 13, 9, 15, 6, 7, 5, 8, 16, 3, 4, 2, 1, 0]",baseline_xgb
CA,0.01932936887282742,0.9822801811037694,"[6, 15, 12, 13, 14, 7, 10, 11, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.006979713809015471,0.984738799710942,"[6, 15, 12, 13, 14, 7, 10, 11, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.01695916186166449,0.9803187093113235,"[6, 15, 12, 13, 14, 7, 10, 11, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
