population,mse,r2,selected_indices,source
CA,0.006097475221530291,0.9937644487164258,"[8, 0, 2, 4, 1, 5, 3, 11, 7, 14, 6, 10, 13, 17, 12]",our_method
NY,0.05591274971360155,0.9563093584231774,"[8, 0, 2, 4, 1, 5, 3, 11, 7, 14, 6, 10, 13, 17, 12]",our_method
FL,0.012894979579866787,0.988101302508392,"[8, 0, 2, 4, 1, 5, 3, 11, 7, 14, 6, 10, 13, 17, 12]",our_method
CA,0.0072358924575854165,0.9926002522581178,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.051440688347333716,0.9598038606836454,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.014011338966568258,0.9870711944301274,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.18784563648946176,0.8079006380231404,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
NY,0.22515319449576174,0.8240636067626999,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
FL,0.37561336069012957,0.6534069926224517,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
CA,0.006180019722977348,0.9936800350118595,"[17, 9, 6, 10, 12, 13, 15, 16, 8, 5, 3, 4, 2, 1, 0]",baseline_xgb
NY,0.05757352770767189,0.9550116140545089,"[17, 9, 6, 10, 12, 13, 15, 16, 8, 5, 3, 4, 2, 1, 0]",baseline_xgb
FL,0.014100671940922781,0.986988763431979,"[17, 9, 6, 10, 12, 13, 15, 16, 8, 5, 3, 4, 2, 1, 0]",baseline_xgb
CA,0.006311523797016258,0.9935455530553322,"[17, 13, 6, 9, 14, 10, 7, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.05698891889557829,0.9554684317607148,"[17, 13, 6, 9, 14, 10, 7, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.01319679563486343,0.9878228051354979,"[17, 13, 6, 9, 14, 10, 7, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
