population,mse,r2,selected_indices,source
CA,0.006343811003490113,0.9935125347117627,"[8, 0, 2, 4, 1, 5, 3]",our_method
NY,0.046569119779532445,0.9636105408648733,"[8, 0, 2, 4, 1, 5, 3]",our_method
FL,0.011314668061197065,0.9895595172024667,"[8, 0, 2, 4, 1, 5, 3]",our_method
CA,0.30564221385635865,0.6874365815875886,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
NY,0.3670176945295694,0.7132096234547669,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
FL,0.5244162412992762,0.516100806809446,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
CA,0.20463702117022836,0.7907290159180709,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
NY,0.2351515440552018,0.8162508214999673,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
FL,0.31849412809344796,0.7061131225865389,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
CA,0.8444622214979506,0.13641510660047473,"[17, 9, 6, 10, 12, 13, 15]",baseline_xgb
NY,1.2656786438385454,0.010989224056411229,"[17, 9, 6, 10, 12, 13, 15]",baseline_xgb
FL,1.3264050540765258,-0.22392535731022867,"[17, 9, 6, 10, 12, 13, 15]",baseline_xgb
CA,0.8610837497144435,0.11941718732409168,"[17, 13, 6, 9, 14, 10, 7]",baseline_dro_xgb
NY,1.2779987900196457,0.0013621695164416359,"[17, 13, 6, 9, 14, 10, 7]",baseline_dro_xgb
FL,1.2373506509651118,-0.141751407645907,"[17, 13, 6, 9, 14, 10, 7]",baseline_dro_xgb
