population,mse,r2,selected_indices,source
CA,0.003949963477006096,0.9967820615349315,"[0, 2, 4, 1, 5, 8, 3]",our_method
NY,0.12817155739882724,0.9166506674487904,"[0, 2, 4, 1, 5, 8, 3]",our_method
FL,0.014022839032469476,0.984610842592096,"[0, 2, 4, 1, 5, 8, 3]",our_method
CA,1.1919410219806459,0.028954853620129173,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
NY,1.7249455996833396,-0.12172362838175,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
FL,0.9388151492841837,-0.03028880783743504,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
CA,0.3864357086852115,0.6851802963513296,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
NY,0.44979100686596607,0.707503123386735,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
FL,0.35449613214612735,0.6109634600056315,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
CA,1.0952068869903604,0.1077617832746548,"[17, 6, 5, 15, 13, 12, 9]",baseline_xgb
NY,1.6065756098100747,-0.044748206921197964,"[17, 6, 5, 15, 13, 12, 9]",baseline_xgb
FL,0.9033019549704969,0.008684622299312883,"[17, 6, 5, 15, 13, 12, 9]",baseline_xgb
CA,1.2928667465083796,-0.05326686133072944,"[15, 6, 14, 7, 13, 9, 11]",baseline_dro_xgb
NY,1.7686143978089583,-0.15012123274071154,"[15, 6, 14, 7, 13, 9, 11]",baseline_dro_xgb
FL,1.0147282043119525,-0.11359846791640993,"[15, 6, 14, 7, 13, 9, 11]",baseline_dro_xgb
