population,mse,r2,selected_indices,source
CA,0.00994212586763182,0.9919003936516765,"[0, 2, 4, 1, 5, 8, 3, 7, 6, 11, 14, 13, 12, 9, 15]",our_method
NY,0.1460307968493644,0.9050368919881193,"[0, 2, 4, 1, 5, 8, 3, 7, 6, 11, 14, 13, 12, 9, 15]",our_method
FL,0.01607943988510665,0.9823538563874351,"[0, 2, 4, 1, 5, 8, 3, 7, 6, 11, 14, 13, 12, 9, 15]",our_method
CA,0.01038261506945878,0.9915415378915516,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.11947825606276716,0.9223038784944555,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.01397557423741189,0.9846627126427547,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.021682600418637826,0.9823357166930745,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
NY,0.1654889585303195,0.8923833452754539,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
FL,0.06787042647291765,0.9255166037408781,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
CA,0.01151670502426931,0.990617622592163,"[17, 6, 5, 15, 13, 12, 9, 8, 16, 11, 4, 3, 2, 1, 0]",baseline_xgb
NY,0.13198538368968027,0.9141705549943578,"[17, 6, 5, 15, 13, 12, 9, 8, 16, 11, 4, 3, 2, 1, 0]",baseline_xgb
FL,0.016395456231784625,0.9820070489191872,"[17, 6, 5, 15, 13, 12, 9, 8, 16, 11, 4, 3, 2, 1, 0]",baseline_xgb
CA,0.009894515295554721,0.9919391808182219,"[15, 6, 14, 7, 13, 9, 11, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.13262798289417138,0.9137526758963798,"[15, 6, 14, 7, 13, 9, 11, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.016811765230500583,0.9815501767625054,"[15, 6, 14, 7, 13, 9, 11, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
