population,mse,r2,selected_indices,source
CA,0.03277609341239068,0.973646940439332,"[8, 5, 1, 0, 2, 4, 3, 14, 9, 12, 16, 11, 6, 13, 10]",our_method
NY,0.00864116044554244,0.9888873296726068,"[8, 5, 1, 0, 2, 4, 3, 14, 9, 12, 16, 11, 6, 13, 10]",our_method
FL,0.0381649411264874,0.9729496774022299,"[8, 5, 1, 0, 2, 4, 3, 14, 9, 12, 16, 11, 6, 13, 10]",our_method
CA,0.03219846859062967,0.9741113698373101,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.008404843864324312,0.9891912365698949,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.03741750649645691,0.9734794397250921,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.18243186262184075,0.8533187686236123,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
NY,0.10810453120706583,0.8609758464997351,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
FL,0.30548416933969613,0.7834807264142329,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
CA,0.03194741302946916,0.9743132267844774,"[7, 13, 15, 9, 6, 17, 10, 16, 5, 8, 3, 4, 2, 1, 0]",baseline_xgb
NY,0.008510071144562821,0.9890559126070884,"[7, 13, 15, 9, 6, 17, 10, 16, 5, 8, 3, 4, 2, 1, 0]",baseline_xgb
FL,0.03897886632851311,0.9723727882826507,"[7, 13, 15, 9, 6, 17, 10, 16, 5, 8, 3, 4, 2, 1, 0]",baseline_xgb
CA,0.032308736432491166,0.9740227108574969,"[11, 15, 6, 14, 10, 9, 7, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.008500695952638021,0.9890679692536201,"[11, 15, 6, 14, 10, 9, 7, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.03833342170476348,0.9728302627284663,"[11, 15, 6, 14, 10, 9, 7, 17, 5, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
