population,mse,r2,selected_indices,source
CA,0.030231770337428555,0.9756926600646828,"[8, 5, 1, 0, 2, 4, 3]",our_method
NY,0.0070711627437832604,0.990906371789041,"[8, 5, 1, 0, 2, 4, 3]",our_method
FL,0.028883580891715718,0.9795280653437861,"[8, 5, 1, 0, 2, 4, 3]",our_method
CA,0.2758466162860105,0.7782102272796841,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
NY,0.22985015303061065,0.7044090326262069,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
FL,0.4030791476427826,0.7143079314590048,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
CA,0.20891928279961888,0.8320220096483787,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
NY,0.12410463273771559,0.8403994604187834,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
FL,0.36619364926213877,0.7404514181492927,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
CA,1.1074325356038486,0.10958773509118047,"[7, 13, 15, 9, 6, 17, 10]",baseline_xgb
NY,0.8457638435628524,-0.08766580919015832,"[7, 13, 15, 9, 6, 17, 10]",baseline_xgb
FL,1.4849473743054955,-0.05249226987009736,"[7, 13, 15, 9, 6, 17, 10]",baseline_xgb
CA,1.1328999569074973,0.08911108883479768,"[11, 15, 6, 14, 10, 9, 7]",baseline_dro_xgb
NY,0.8529651829974214,-0.09692684670431562,"[11, 15, 6, 14, 10, 9, 7]",baseline_dro_xgb
FL,1.4723551304805562,-0.04356721332237523,"[11, 15, 6, 14, 10, 9, 7]",baseline_dro_xgb
