population,downstream_accuracy,logloss,selected_indices,source
Male,0.780114722753346,0.8397726529870188,"[2, 37, 1, 39, 18, 30, 36, 16, 38, 24]",our_method
Female,0.9230769230769231,0.3269479697479862,"[2, 37, 1, 39, 18, 30, 36, 16, 38, 24]",our_method
Male,0.751434034416826,0.8649854672946407,"[30, 24, 41, 4, 0, 3, 36, 16, 1, 2]",baseline_lasso
Female,0.9192307692307692,0.32613974680011365,"[30, 24, 41, 4, 0, 3, 36, 16, 1, 2]",baseline_lasso
Male,0.7877629063097514,0.7294670523113624,"[39, 37, 3, 14, 18, 41, 1, 16, 36, 2]",baseline_dro_lasso
Female,0.9192307692307692,0.6876889045687367,"[39, 37, 3, 14, 18, 41, 1, 16, 36, 2]",baseline_dro_lasso
Male,0.7896749521988528,0.6775292113880679,"[13, 27, 18, 25, 33, 3, 28, 1, 2, 16]",baseline_xgb
Female,0.926923076923077,0.3104470224986786,"[13, 27, 18, 25, 33, 3, 28, 1, 2, 16]",baseline_xgb
Male,0.7915869980879541,0.6830405951021351,"[13, 18, 41, 37, 25, 3, 1, 28, 2, 16]",baseline_dro_xgb
Female,0.9192307692307692,0.3113675928487496,"[13, 18, 41, 37, 25, 3, 1, 28, 2, 16]",baseline_dro_xgb
