population,mse,r2,selected_indices,source
CA,0.014710717194221403,0.9833544529155989,"[0, 2, 8, 5, 1, 4, 3, 14, 7, 6, 16, 12, 11, 9, 17]",our_method
NY,0.008470211979330258,0.9891911022703163,"[0, 2, 8, 5, 1, 4, 3, 14, 7, 6, 16, 12, 11, 9, 17]",our_method
FL,0.0076251278297860626,0.9917233039228665,"[0, 2, 8, 5, 1, 4, 3, 14, 7, 6, 16, 12, 11, 9, 17]",our_method
CA,0.013521283851093972,0.9847003267064811,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.008505400430550302,0.9891461980375259,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.007350516233284851,0.9920213811189783,"[13, 12, 11, 10, 9, 17, 7, 6, 5, 4, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.03180705835852705,0.9640095122125567,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
NY,0.009051734915888336,0.9884490167163702,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
FL,0.008166975523350665,0.9911351552675467,"[13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 16, 17]",baseline_dro_lasso
CA,0.015120502725853762,0.9828907702636087,"[9, 6, 17, 13, 16, 15, 10, 7, 5, 4, 3, 8, 2, 1, 0]",baseline_xgb
NY,0.008480484104172558,0.9891779939387706,"[9, 6, 17, 13, 16, 15, 10, 7, 5, 4, 3, 8, 2, 1, 0]",baseline_xgb
FL,0.006710190487957288,0.9927164227894586,"[9, 6, 17, 13, 16, 15, 10, 7, 5, 4, 3, 8, 2, 1, 0]",baseline_xgb
CA,0.01544647261688554,0.9825219271203663,"[13, 12, 9, 6, 15, 17, 10, 5, 7, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.008569108724172589,0.9890648994310711,"[13, 12, 9, 6, 15, 17, 10, 5, 7, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.007090721355485208,0.992303375505688,"[13, 12, 9, 6, 15, 17, 10, 5, 7, 8, 4, 3, 2, 1, 0]",baseline_dro_xgb
