population,mse,r2,selected_indices,source
CA,0.011742287539540893,0.9867133058478764,"[0, 2, 8, 5, 1, 4, 3]",our_method
NY,0.0073154475178391805,0.990664705409953,"[0, 2, 8, 5, 1, 4, 3]",our_method
FL,0.005844885026521758,0.9936556687244853,"[0, 2, 8, 5, 1, 4, 3]",our_method
CA,0.8763005876003864,0.008443810154922349,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
NY,0.8678779963482155,-0.10750528171698637,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
FL,0.9718438324378453,-0.05488802484120758,"[13, 12, 11, 10, 9, 17, 7]",baseline_lasso
CA,0.2759039320280109,0.6878077505869185,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
NY,0.1831687744116747,0.7662570246507736,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
FL,0.32275037446698945,0.6496705605630139,"[13, 12, 11, 10, 9, 8, 7]",baseline_dro_lasso
CA,0.9871669389288434,-0.11700425921850743,"[9, 6, 17, 13, 16, 15, 10]",baseline_xgb
NY,0.8970533088291445,-0.14473610540917714,"[9, 6, 17, 13, 16, 15, 10]",baseline_xgb
FL,0.9040817004243032,0.018664390899791883,"[9, 6, 17, 13, 16, 15, 10]",baseline_xgb
CA,0.9191761122451905,-0.040070926062278245,"[13, 12, 9, 6, 15, 17, 10]",baseline_dro_xgb
NY,0.8699097431072307,-0.11009800820180171,"[13, 12, 9, 6, 15, 17, 10]",baseline_dro_xgb
FL,0.8957153979447874,0.027745595104897602,"[13, 12, 9, 6, 15, 17, 10]",baseline_dro_xgb
