population,downstream_accuracy,logloss,selected_indices,source
Male,0.780114722753346,0.7241494909792805,"[2, 1, 37, 39, 36, 16, 18, 30, 24, 38]",our_method
Female,0.95,0.2824950763928279,"[2, 1, 37, 39, 36, 16, 18, 30, 24, 38]",our_method
Male,0.7705544933078394,0.766095464733172,"[41, 30, 4, 3, 36, 0, 24, 16, 1, 2]",baseline_lasso
Female,0.9461538461538461,0.27158068536071145,"[41, 30, 4, 3, 36, 0, 24, 16, 1, 2]",baseline_lasso
Male,0.8087954110898662,0.612916844474009,"[8, 9, 3, 30, 24, 1, 16, 41, 36, 2]",baseline_dro_lasso
Female,0.9423076923076923,0.40542460569066185,"[8, 9, 3, 30, 24, 1, 16, 41, 36, 2]",baseline_dro_lasso
Male,0.8126195028680688,0.5247672176319964,"[31, 10, 9, 25, 24, 3, 28, 1, 2, 16]",baseline_xgb
Female,0.9461538461538461,0.4065135877917458,"[31, 10, 9, 25, 24, 3, 28, 1, 2, 16]",baseline_xgb
Male,0.8107074569789675,0.7960692434037024,"[32, 24, 3, 9, 25, 39, 28, 1, 2, 16]",baseline_dro_xgb
Female,0.9461538461538461,0.289360194029325,"[32, 24, 3, 9, 25, 39, 28, 1, 2, 16]",baseline_dro_xgb
