population,mse,r2,selected_indices,source
CA,0.0035104103352625073,0.9959557772904596,"[8, 0, 5, 2, 1, 3, 4]",our_method
NY,0.02632898571535239,0.9711992720031278,"[8, 0, 5, 2, 1, 3, 4]",our_method
FL,0.0646340837824456,0.9454886901807469,"[8, 0, 5, 2, 1, 3, 4]",our_method
CA,0.15384605687664457,0.8227592624304301,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
NY,0.2147385888738927,0.7651019391535886,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
FL,0.4033236317015261,0.6598435661421188,"[4, 11, 10, 9, 8, 12, 13]",baseline_lasso
CA,0.07849494563034007,0.9095686796174441,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
NY,0.1487006409276749,0.8373394722220047,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
FL,0.42528741164406,0.6413196799324943,"[3, 4, 5, 6, 7, 8, 9]",baseline_dro_lasso
CA,0.83636099152391,0.03645733909857174,"[9, 12, 17, 6, 15, 14, 7]",baseline_xgb
NY,1.0039957387248484,-0.0982499855348522,"[9, 12, 17, 6, 15, 14, 7]",baseline_xgb
FL,1.0924179142490371,0.07867292470377918,"[9, 12, 17, 6, 15, 14, 7]",baseline_xgb
CA,0.7905194213129628,0.08926983153736201,"[9, 6, 15, 12, 7, 14, 10]",baseline_dro_xgb
NY,0.9308981494373089,-0.018290058135524978,"[9, 6, 15, 12, 7, 14, 10]",baseline_dro_xgb
FL,1.1167659347006182,0.05813820975695527,"[9, 6, 15, 12, 7, 14, 10]",baseline_dro_xgb
