population,mse,r2,selected_indices,source
CA,0.003752089514383424,0.9956773470412076,"[8, 0, 5, 2, 1, 3, 4, 11, 7, 9, 17, 16, 12, 13, 6]",our_method
NY,0.03030770456359067,0.9668470344895755,"[8, 0, 5, 2, 1, 3, 4, 11, 7, 9, 17, 16, 12, 13, 6]",our_method
FL,0.06793616648373113,0.9427037686247387,"[8, 0, 5, 2, 1, 3, 4, 11, 7, 9, 17, 16, 12, 13, 6]",our_method
CA,0.003680451677294547,0.9957598785232703,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
NY,0.02885856150543143,0.9684322218377636,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
FL,0.06809060910941356,0.9425735142863898,"[4, 11, 10, 9, 8, 12, 13, 14, 15, 17, 16, 3, 2, 1, 0]",baseline_lasso
CA,0.06847705629787781,0.9211099445040678,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
NY,0.13895120528439928,0.8480041764047132,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
FL,0.39159767060365064,0.6697330464430432,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",baseline_dro_lasso
CA,0.0038088748145819187,0.9956119266547862,"[9, 12, 17, 6, 15, 14, 7, 16, 8, 4, 3, 5, 2, 1, 0]",baseline_xgb
NY,0.031082189754995274,0.9659998413019457,"[9, 12, 17, 6, 15, 14, 7, 16, 8, 4, 3, 5, 2, 1, 0]",baseline_xgb
FL,0.06939743419789554,0.9414713597711716,"[9, 12, 17, 6, 15, 14, 7, 16, 8, 4, 3, 5, 2, 1, 0]",baseline_xgb
CA,0.0037057919968282275,0.9957306848148608,"[9, 6, 15, 12, 7, 14, 10, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
NY,0.031004469213699887,0.966084858180067,"[9, 6, 15, 12, 7, 14, 10, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
FL,0.06953947843407848,0.9413515620280386,"[9, 6, 15, 12, 7, 14, 10, 11, 8, 4, 5, 3, 2, 1, 0]",baseline_dro_xgb
