population,downstream_accuracy,logloss,selected_indices,source
Male,0.780114722753346,0.44402173149188995,"[2, 39, 18, 24, 36]",our_method
Female,0.926923076923077,0.23299495162874084,"[2, 39, 18, 24, 36]",our_method
Male,0.7323135755258127,0.9273394645304869,"[30, 3, 24, 0, 41]",baseline_lasso
Female,0.9230769230769231,0.5886394786375451,"[30, 3, 24, 0, 41]",baseline_lasso
Male,0.7017208413001912,0.8476541979669867,"[0, 6, 4, 8, 30]",baseline_dro_lasso
Female,0.8769230769230769,0.9664883312061129,"[0, 6, 4, 8, 30]",baseline_dro_lasso
Male,0.6998087954110899,0.7084815596245132,"[41, 30, 9, 25, 3]",baseline_xgb
Female,0.926923076923077,0.18899633464807974,"[41, 30, 9, 25, 3]",baseline_xgb
Male,0.7074569789674953,0.703956916284073,"[30, 31, 25, 32, 3]",baseline_dro_xgb
Female,0.9076923076923077,0.2915117553197171,"[30, 31, 25, 32, 3]",baseline_dro_xgb
